Date,Bar Name,Alcohol Type,Brand Name,Consumed (ml),Purchase (ml),Opening Balance (ml),Closing Balance (ml),Next_Day_Consumption,DayOfWeek,DayOfMonth,Month,WeekOfYear,IsWeekend,IsHolidaySeason,Consumption_Lag_1,Purchase_Lag_1,Consumption_Lag_2,Purchase_Lag_2,Consumption_Lag_3,Purchase_Lag_3,Consumption_Lag_7,Purchase_Lag_7,Consumption_Lag_14,Purchase_Lag_14,Consumption_Mean_3,Consumption_Std_3,Consumption_Max_3,Consumption_Mean_7,Consumption_Std_7,Consumption_Max_7,Consumption_Mean_14,Consumption_Std_14,Consumption_Max_14,Inventory_Ratio,Stockout_Risk,Inventory_Turnover,Inventory_Usage_Rate,Alcohol_Beer,Alcohol_Rum,Alcohol_Vodka,Alcohol_Whiskey,Alcohol_Wine,Bar_Anderson's Bar,Bar_Brown's Bar,Bar_Johnson's Bar,Bar_Smith's Bar,Bar_Taylor's Bar,Bar_Thomas's Bar,Brand_Popularity,Bar_Brand_Popularity,Consumption_Trend_7d
2023-01-09,Anderson's Bar,Beer,Budweiser,159.07,0.0,2312.98,2153.91,238.21,0,9,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.07,0.0,159.07,159.07,0.0,159.07,159.07,0.0,159.07,13.45605047791591,13.540642484440811,0.06874303148687542,0.06874303148687542,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,0.0
2023-01-18,Anderson's Bar,Beer,Budweiser,238.21,0.0,2153.91,1915.69999999999,303.5,2,18,1,3,0,1,159.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.64,55.960430663103395,238.21,198.64,55.960430663103395,238.21,198.64,55.960430663103395,238.21,8.008444463024079,9.644079742247232,0.11054289970346791,0.11054289970346791,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,79.13999999999997
2023-01-21,Anderson's Bar,Beer,Budweiser,303.5,0.0,1915.69999999999,1612.19999999999,238.29,5,21,1,3,1,1,238.21,0.0,159.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.59333333333333,72.32559321107111,303.5,233.59333333333333,72.32559321107111,303.5,233.59333333333333,72.32559321107111,303.5,5.294581280788145,6.901738063300851,0.1583450722596137,0.1583450722596137,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,72.21499999999997
2023-01-29,Anderson's Bar,Beer,Budweiser,238.29,0.0,1612.19999999999,1373.90999999999,225.56,6,29,1,4,1,1,303.5,0.0,238.21,0.0,159.07,0.0,0.0,0.0,0.0,0.0,260.0,37.67212630048908,303.5,234.76749999999998,59.100273194518046,303.5,234.76749999999998,59.100273194518046,303.5,5.741610598019099,5.852215489793052,0.1477126208777594,0.1477126208777594,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,30.29500000000001
2023-02-02,Anderson's Bar,Beer,Budweiser,225.56,1232.67,1373.90999999999,2381.02,482.17,3,2,2,5,0,0,238.29,0.0,303.5,0.0,238.21,0.0,0.0,0.0,0.0,0.0,255.78333333333333,41.81116397965183,303.5,232.926,51.34771007552334,303.5,232.926,51.34771007552334,303.5,10.509445621468926,10.222216497943553,0.1640543744681482,0.1640543744681482,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,13.306000000000001
2023-02-09,Anderson's Bar,Beer,Budweiser,482.17,0.0,2381.02,1898.85,0.0,3,9,2,6,0,0,225.56,1232.67,238.29,0.0,303.5,0.0,0.0,0.0,0.0,0.0,315.34,144.61915467876307,482.17,274.46666666666664,111.63794958107512,482.17,274.46666666666664,111.63794958107512,482.17,3.9299832357141375,6.918326451299491,0.202420634587451,0.202420634587451,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,43.209714285714256
2023-02-18,Anderson's Bar,Beer,Budweiser,0.0,0.0,1898.85,1898.85,471.26,5,18,2,7,1,0,482.17,0.0,225.56,1232.67,238.29,0.0,0.0,0.0,0.0,0.0,235.91,241.25156807780547,482.17,235.25714285714284,145.42203108129635,482.17,235.25714285714284,145.42203108129635,482.17,1898.85,8.071380859849405,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,-2.4010714285714303
2023-02-28,Anderson's Bar,Beer,Budweiser,471.26,0.0,1898.85,1427.59,139.14,1,28,2,9,0,0,0.0,0.0,482.17,0.0,225.56,1232.67,159.07,0.0,0.0,0.0,317.81,275.2855864370672,482.17,279.85571428571427,164.74983185192661,482.17,264.7575,158.39398561363188,482.17,3.0228899335112014,5.101164375520038,0.2480511619338369,0.2480511619338369,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,12.00107142857142
2023-04-04,Anderson's Bar,Beer,Budweiser,139.14,0.0,1427.59,1288.44999999999,466.08,1,4,4,14,0,0,471.26,0.0,0.0,0.0,482.17,0.0,238.21,0.0,0.0,0.0,203.46666666666667,242.12587002080824,471.26,265.70285714285717,172.97372909532493,482.17,250.79999999999998,153.9671364285249,482.17,9.194020265448767,4.849213944685755,0.09739673384246005,0.09739673384246005,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,-9.025000000000006
2023-04-10,Anderson's Bar,Beer,Budweiser,466.08,766.69,1288.44999999999,1589.06,119.66,0,10,4,15,0,0,139.14,0.0,471.26,0.0,0.0,0.0,303.5,0.0,0.0,0.0,358.82666666666665,190.27186269475928,471.26,288.92857142857144,189.06163214047172,482.17,272.328,160.33228113306856,482.17,3.4021152693328767,5.499836835599505,0.36145643491411344,0.36145643491411344,True,False,False,False,False,True,False,False,False,False,False,324.7510544217687,214.0912765957447,17.843571428571426
