Date,Bar Name,Alcohol Type,Brand Name,Consumed (ml),Purchase (ml),Opening Balance (ml),Closing Balance (ml),Next_Day_Consumption,DayOfWeek,DayOfMonth,Month,WeekOfYear,IsWeekend,IsHolidaySeason,Consumption_Lag_1,Purchase_Lag_1,Consumption_Lag_2,Purchase_Lag_2,Consumption_Lag_3,Purchase_Lag_3,Consumption_Lag_7,Purchase_Lag_7,Consumption_Lag_14,Purchase_Lag_14,Consumption_Mean_3,Consumption_Std_3,Consumption_Mean_7,Consumption_Std_7,Consumption_Mean_14,Consumption_Std_14,Inventory_Ratio,Stockout_Risk,Inventory_Turnover,Alcohol_Beer,Alcohol_Rum,Alcohol_Vodka,Alcohol_Whiskey,Alcohol_Wine,Bar_Anderson's Bar,Bar_Brown's Bar,Bar_Johnson's Bar,Bar_Smith's Bar,Bar_Taylor's Bar,Bar_Thomas's Bar
2023-01-09,Anderson's Bar,Beer,Budweiser,159.07,0.0,2312.98,2153.91,238.21,0,9,1,2,0,1,,,,,,,,,,,159.07,,159.07,,159.07,,13.45605047791591,13.540642484440811,0.06874303148687542,True,False,False,False,False,True,False,False,False,False,False
2023-01-18,Anderson's Bar,Beer,Budweiser,238.21,0.0,2153.91,1915.69999999999,303.5,2,18,1,3,0,1,159.07,0.0,,,,,,,,,198.64,55.960430663103395,198.64,55.960430663103395,198.64,55.960430663103395,8.008444463024079,9.644079742247232,0.11054289970346791,True,False,False,False,False,True,False,False,False,False,False
2023-01-21,Anderson's Bar,Beer,Budweiser,303.5,0.0,1915.69999999999,1612.19999999999,238.29,5,21,1,3,1,1,238.21,0.0,159.07,0.0,,,,,,,233.59333333333333,72.32559321107111,233.59333333333333,72.32559321107111,233.59333333333333,72.32559321107111,5.294581280788145,6.901738063300851,0.1583450722596137,True,False,False,False,False,True,False,False,False,False,False
2023-01-29,Anderson's Bar,Beer,Budweiser,238.29,0.0,1612.19999999999,1373.90999999999,225.56,6,29,1,4,1,1,303.5,0.0,238.21,0.0,159.07,0.0,,,,,260.0,37.67212630048908,234.76749999999998,59.100273194518046,234.76749999999998,59.100273194518046,5.741610598019099,5.852215489793052,0.1477126208777594,True,False,False,False,False,True,False,False,False,False,False
2023-02-02,Anderson's Bar,Beer,Budweiser,225.56,1232.67,1373.90999999999,2381.02,482.17,3,2,2,5,0,0,238.29,0.0,303.5,0.0,238.21,0.0,,,,,255.78333333333333,41.81116397965183,232.926,51.34771007552334,232.926,51.34771007552334,10.509445621468926,10.222216497943553,0.1640543744681482,True,False,False,False,False,True,False,False,False,False,False
2023-02-09,Anderson's Bar,Beer,Budweiser,482.17,0.0,2381.02,1898.85,0.0,3,9,2,6,0,0,225.56,1232.67,238.29,0.0,303.5,0.0,,,,,315.34,144.61915467876307,274.46666666666664,111.63794958107512,274.46666666666664,111.63794958107512,3.9299832357141375,6.918326451299491,0.202420634587451,True,False,False,False,False,True,False,False,False,False,False
2023-02-18,Anderson's Bar,Beer,Budweiser,0.0,0.0,1898.85,1898.85,471.26,5,18,2,7,1,0,482.17,0.0,225.56,1232.67,238.29,0.0,,,,,235.91,241.25156807780547,235.25714285714284,145.42203108129635,235.25714285714284,145.42203108129635,1898.85,8.071380859849405,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-02-28,Anderson's Bar,Beer,Budweiser,471.26,0.0,1898.85,1427.59,139.14,1,28,2,9,0,0,0.0,0.0,482.17,0.0,225.56,1232.67,159.07,0.0,,,317.81,275.2855864370672,279.85571428571427,164.74983185192661,264.7575,158.39398561363188,3.0228899335112014,5.101164375520038,0.2480511619338369,True,False,False,False,False,True,False,False,False,False,False
2023-04-04,Anderson's Bar,Beer,Budweiser,139.14,0.0,1427.59,1288.44999999999,466.08,1,4,4,14,0,0,471.26,0.0,0.0,0.0,482.17,0.0,238.21,0.0,,,203.46666666666667,242.12587002080824,265.70285714285717,172.97372909532493,250.79999999999998,153.9671364285249,9.194020265448767,4.849213944685755,0.09739673384246005,True,False,False,False,False,True,False,False,False,False,False
2023-04-10,Anderson's Bar,Beer,Budweiser,466.08,766.69,1288.44999999999,1589.06,119.66,0,10,4,15,0,0,139.14,0.0,471.26,0.0,0.0,0.0,303.5,0.0,,,358.82666666666665,190.27186269475928,288.92857142857144,189.06163214047172,272.328,160.33228113306856,3.4021152693328767,5.499836835599505,0.36145643491411344,True,False,False,False,False,True,False,False,False,False,False
2023-04-26,Anderson's Bar,Beer,Budweiser,119.66,0.0,1589.06,1469.39999999999,532.2,2,26,4,17,0,0,466.08,766.69,139.14,0.0,471.26,0.0,238.29,0.0,,,241.62666666666667,194.62615891326973,271.9814285714286,199.39197128842906,258.4490909090909,158.91715335070316,12.178020885131694,5.402574755629287,0.07525502182307586,True,False,False,False,False,True,False,False,False,False,False
2023-04-27,Anderson's Bar,Beer,Budweiser,532.2,0.0,1469.39999999999,937.199999999999,111.89,3,27,4,17,0,0,119.66,0.0,466.08,766.69,139.14,0.0,225.56,1232.67,,,372.6466666666667,221.57313405134053,315.7871428571429,220.10191614449022,281.26166666666666,170.89103736450065,1.757689422355587,2.9678219053521553,0.3619423286180656,True,False,False,False,False,True,False,False,False,False,False
2023-05-04,Anderson's Bar,Beer,Budweiser,111.89,1470.74,937.199999999999,2296.04999999999,127.05,3,4,5,18,0,0,532.2,0.0,119.66,0.0,466.08,766.69,482.17,0.0,,,254.58333333333337,240.45447268315334,262.89,217.93468310482388,268.23307692307696,170.22565921860974,20.338825405261673,8.73388109095055,0.11926028565337894,True,False,False,False,False,True,False,False,False,False,False
2023-06-03,Anderson's Bar,Beer,Budweiser,127.05,0.0,2296.04999999999,2168.99999999999,178.19,5,3,6,22,1,0,111.89,1470.74,532.2,0.0,119.66,0.0,0.0,0.0,,,257.0466666666667,238.41030605519833,281.04,196.6420405203323,258.1485714285714,167.84383776214509,16.938695821944474,7.717762596071697,0.05531007161359158,True,False,False,False,False,True,False,False,False,False,False
2023-06-07,Anderson's Bar,Beer,Budweiser,178.19,0.0,2168.99999999999,1990.80999999999,362.44,2,7,6,23,0,0,127.05,0.0,111.89,1470.74,532.2,0.0,471.26,0.0,159.07,0.0,139.04333333333332,34.739063506855615,239.17285714285714,179.87635713773744,259.5142857142857,167.05155762008536,11.110050784083878,8.323728803435609,0.08211520737327227,True,False,False,False,False,True,False,False,False,False,False
2023-06-14,Anderson's Bar,Beer,Budweiser,362.44,0.0,1990.80999999999,1628.36999999999,231.84,2,14,6,24,0,0,178.19,0.0,127.05,0.0,111.89,1470.74,139.14,0.0,238.21,0.0,222.56000000000003,123.80886761456144,271.0728571428572,178.97763786893285,268.3878571428571,169.1195216943682,4.480436935945383,6.00713039720472,0.18196514727810476,True,False,False,False,False,True,False,False,False,False,False
2023-06-15,Anderson's Bar,Beer,Budweiser,231.84,0.0,1628.36999999999,1396.52999999999,339.12,3,15,6,24,0,0,362.44,0.0,178.19,0.0,127.05,0.0,466.08,766.69,303.5,0.0,257.49,94.76527581345393,237.60999999999999,156.98782373165125,263.26928571428573,169.05949123422093,5.997809654698462,5.877404149656959,0.14228812363060658,True,False,False,False,False,True,False,False,False,False,False
2023-06-17,Anderson's Bar,Beer,Budweiser,339.12,0.0,1396.52999999999,1057.40999999999,246.31,5,17,6,24,1,0,231.84,0.0,362.44,0.0,178.19,0.0,119.66,0.0,238.29,0.0,311.1333333333333,69.6529262366867,268.9614285714286,151.31796207859483,270.4714285714286,170.05827611358782,3.1089321415970543,3.931455917736441,0.24265668715519698,True,False,False,False,False,True,False,False,False,False,False
2023-06-24,Anderson's Bar,Beer,Budweiser,246.31,1901.04,1057.40999999999,2712.13999999999,558.2,5,24,6,25,1,0,339.12,0.0,231.84,0.0,362.44,0.0,532.2,0.0,225.56,1232.67,272.42333333333335,58.21236323439655,228.11999999999998,97.40391812790011,271.9535714285714,169.72684124825363,10.966560187618738,11.889093459582632,0.23271700002834658,True,False,False,False,False,True,False,False,False,False,False
2023-07-19,Anderson's Bar,Beer,Budweiser,558.2,0.0,2712.13999999999,2153.93999999999,376.39,2,19,7,29,0,0,246.31,1901.04,339.12,0.0,231.84,0.0,111.89,1470.74,482.17,0.0,381.21000000000004,160.1484283407114,291.87857142857143,143.70829544933167,277.38428571428574,177.9859074245999,3.851824034334746,7.379575655238201,0.20573947529430922,True,False,False,False,False,True,False,False,False,False,False
2023-07-26,Anderson's Bar,Beer,Budweiser,376.39,773.97,2153.93999999999,2551.52,536.9,2,26,7,30,0,0,558.2,0.0,246.31,1901.04,339.12,0.0,127.05,0.0,0.0,0.0,393.6333333333334,156.65836215578568,327.49857142857144,125.83367188853867,304.26928571428573,160.4243474933943,6.760963459551128,7.790934747806969,0.1746637957437338,True,False,False,False,False,True,False,False,False,False,False
2023-07-27,Anderson's Bar,Beer,Budweiser,536.9,0.0,2551.52,2014.62,485.35,3,27,7,30,0,0,376.39,773.97,558.2,0.0,246.31,1901.04,178.19,0.0,471.26,0.0,490.49666666666667,99.39150382871411,378.74285714285713,127.91843035235213,308.9578571428571,166.52350705755407,3.7453430005577246,5.319229028364514,0.2103411530565872,True,False,False,False,False,True,False,False,False,False,False
2023-08-02,Anderson's Bar,Beer,Budweiser,485.35,0.0,2014.62,1529.27,574.1,2,2,8,31,0,0,536.9,0.0,376.39,773.97,558.2,0.0,362.44,0.0,139.14,0.0,466.2133333333333,81.94830097892995,396.3014285714286,133.61631929129175,333.6871428571429,165.0653895338997,3.1443816181762103,3.8588556329777837,0.2407943957690438,True,False,False,False,False,True,False,False,False,False,False
2023-08-05,Anderson's Bar,Beer,Budweiser,574.1,0.0,1529.27,955.17,189.51,5,5,8,31,1,0,485.35,0.0,536.9,0.0,376.39,773.97,231.84,0.0,466.08,766.69,532.1166666666667,44.567935035553006,445.19571428571425,125.79754698948419,341.4028571428571,174.0120682122838,1.6608763693270734,2.145505828897082,0.37516255301352053,True,False,False,False,False,True,False,False,False,False,False
2023-08-07,Anderson's Bar,Beer,Budweiser,189.51,0.0,955.17,765.66,113.9,0,7,8,32,0,0,574.1,0.0,485.35,0.0,536.9,0.0,339.12,0.0,119.66,0.0,416.32,201.37334158224613,423.8228571428572,155.92501998442364,346.39214285714286,168.06492386431054,4.01900162721117,1.8065566476560286,0.1981969733415606,True,False,False,False,False,True,False,False,False,False,False
2023-08-08,Anderson's Bar,Beer,Budweiser,113.9,0.0,765.66,651.76,232.31,1,8,8,32,0,0,189.51,0.0,574.1,0.0,485.35,0.0,246.31,1901.04,532.2,0.0,292.50333333333333,246.78275878459044,404.90714285714284,186.15065777610414,316.5135714285715,169.66606852679968,5.672410791993037,1.6096530068622437,0.1485665092739937,True,False,False,False,False,True,False,False,False,False,False
2023-08-17,Anderson's Bar,Beer,Budweiser,232.31,0.0,651.76,419.45,403.68,3,17,8,33,0,0,113.9,0.0,189.51,0.0,574.1,0.0,558.2,0.0,111.89,1470.74,178.57333333333335,59.95781878398667,358.3514285714285,182.13156246960352,325.11499999999995,161.34271310808228,1.7978226394067978,1.170499031278155,0.35588884122801645,True,False,False,False,False,True,False,False,False,False,False
2023-08-28,Anderson's Bar,Beer,Budweiser,403.68,0.0,419.45,15.7699999999999,426.29,0,28,8,35,0,0,232.31,0.0,113.9,0.0,189.51,0.0,376.39,773.97,127.05,0.0,249.96333333333334,145.6943452345813,362.25,182.8726030145942,344.8742857142857,151.8819956268827,0.0389690619748935,0.04353347135955804,0.9601141633963611,True,False,False,False,False,True,False,False,False,False,False
2023-08-31,Anderson's Bar,Beer,Budweiser,426.29,1604.2,15.7699999999999,1193.68,420.21,3,31,8,35,0,0,403.68,0.0,232.31,0.0,113.9,0.0,536.9,0.0,178.19,0.0,354.0933333333333,106.07161841573523,346.4485714285714,169.56072495604366,362.5957142857143,145.26739502428921,2.7936062159189308,3.4454753127654487,25.419797257006714,True,False,False,False,False,True,False,False,False,False,False
2023-09-15,Anderson's Bar,Beer,Budweiser,420.21,0.0,1193.68,773.47,466.24,4,15,9,37,0,0,426.29,1604.2,403.68,0.0,232.31,0.0,485.35,0.0,362.44,0.0,416.72666666666663,11.700565513398343,337.14285714285717,162.29910861475147,366.7221428571429,146.08085396469647,1.836304931032027,2.2941906779661014,0.35173435564335215,True,False,False,False,False,True,False,False,False,False,False
2023-09-20,Anderson's Bar,Beer,Budweiser,466.24,0.0,773.47,307.23,145.55,2,20,9,38,0,0,420.21,0.0,426.29,1604.2,403.68,0.0,574.1,0.0,231.84,0.0,437.58,25.005765335217966,321.7342857142857,139.58355930614272,383.46500000000003,142.82886272362148,0.6575421624860885,0.9549184331347075,0.6020116983227239,True,False,False,False,False,True,False,False,False,False,False
2023-09-27,Anderson's Bar,Beer,Budweiser,145.55,0.0,307.23,161.68,161.68,2,27,9,39,0,0,466.24,0.0,420.21,0.0,426.29,1604.2,189.51,0.0,339.12,0.0,344.0,173.3969206762335,315.45428571428573,147.2995769237128,369.6385714285715,156.19558222143974,1.1032412146025248,0.5125306813756125,0.4722123089900399,True,False,False,False,False,True,False,False,False,False,False
2023-09-28,Anderson's Bar,Beer,Budweiser,161.68,0.0,161.68,0.0,0.0,3,28,9,39,0,0,145.55,0.0,466.24,0.0,420.21,0.0,113.9,0.0,246.31,1901.04,257.8233333333333,180.67422182849822,322.28000000000003,137.16125570534376,363.59357142857147,162.83238699808626,0.0,0.0,0.9938529628718957,True,False,False,False,False,True,False,False,False,False,False
2023-10-02,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,0,2,10,40,0,0,161.68,0.0,145.55,0.0,466.24,0.0,232.31,0.0,558.2,0.0,102.41000000000001,89.05560229429771,289.09285714285716,183.00243748051432,323.7221428571429,179.04864251750882,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-10-05,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,3,5,10,40,0,0,0.0,0.0,161.68,0.0,145.55,0.0,403.68,0.0,376.39,773.97,53.89333333333334,93.3459915225795,231.42428571428576,203.34870320520392,296.83714285714285,197.80765530914402,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-10-09,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,0,9,10,41,0,0,0.0,0.0,0.0,0.0,161.68,0.0,426.29,1604.2,536.9,0.0,0.0,0.0,170.52571428571426,199.05119608257763,258.4871428571429,199.72178523861922,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-10-13,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,4,13,10,41,0,0,0.0,0.0,0.0,0.0,0.0,0.0,420.21,0.0,485.35,0.0,0.0,0.0,110.49571428571429,172.83896280036154,223.8192857142857,199.4371102132695,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-10-21,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,5,21,10,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,466.24,0.0,574.1,0.0,0.0,0.0,43.89,75.10093230668525,182.81214285714285,179.94302201524252,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-10-26,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,3,26,10,43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.55,0.0,189.51,0.0,0.0,0.0,23.09714285714286,61.109295996131735,169.27571428571426,186.4121807968851,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-11-03,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,4,3,11,44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,161.68,0.0,113.9,0.0,0.0,0.0,0.0,0.0,161.14000000000001,191.4327869193058,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-11-15,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,2,15,11,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.31,0.0,0.0,0.0,0.0,0.0,144.54642857142858,194.8274844221517,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-11-29,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,2,29,11,48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.68,0.0,0.0,0.0,0.0,0.0,115.71214285714288,183.04147714819567,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-12-01,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,4,1,12,48,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.29,1604.2,0.0,0.0,0.0,0.0,85.26285714285713,161.60370313867162,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-12-03,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,6,3,12,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.21,0.0,0.0,0.0,0.0,0.0,55.24785714285714,130.67057888967463,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-12-18,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,0,18,12,51,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.24,0.0,0.0,0.0,0.0,0.0,21.945,55.872838144376864,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-12-24,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,6,24,12,51,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.55,0.0,0.0,0.0,0.0,0.0,11.54857142857143,43.21079759240126,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-12-25,Anderson's Bar,Beer,Budweiser,0.0,0.0,0.0,0.0,0.0,0,25,12,52,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True,False,False,False,False,True,False,False,False,False,False
2023-01-02,Anderson's Bar,Beer,Coors,440.55,0.0,924.0,483.45,544.08,0,2,1,1,0,1,,,,,,,,,,,440.55,,440.55,,440.55,,1.0948929906012907,7.681647940074906,0.4762702702702703,True,False,False,False,False,True,False,False,False,False,False
2023-01-04,Anderson's Bar,Beer,Coors,544.08,1009.41,483.45,948.779999999999,274.13,2,4,1,1,0,1,440.55,0.0,,,,,,,,,492.31500000000005,73.20676505624327,492.31500000000005,73.20676505624327,492.31500000000005,73.20676505624327,1.7406252293241338,6.745132689436633,1.1230880379812158,True,False,False,False,False,True,False,False,False,False,False
2023-01-06,Anderson's Bar,Beer,Coors,274.13,980.0,948.779999999999,1654.64999999999,164.89,4,6,1,1,0,1,544.08,1009.41,440.55,0.0,,,,,,,419.58666666666664,136.19047923160173,419.58666666666664,136.19047923160173,419.58666666666664,136.19047923160173,6.0140660778540695,9.201555499062515,0.2886247341489611,True,False,False,False,False,True,False,False,False,False,False
2023-01-14,Anderson's Bar,Beer,Coors,164.89,0.0,1654.64999999999,1489.75999999999,330.99,5,14,1,2,1,1,274.13,980.0,544.08,1009.41,440.55,0.0,,,,,327.7,195.18855678548374,355.9125,169.06457077598097,355.9125,169.06457077598097,8.980408704563205,7.325058827661244,0.09959230513695587,True,False,False,False,False,True,False,False,False,False,False
2023-01-16,Anderson's Bar,Beer,Coors,330.99,0.0,1489.75999999999,1158.76999999999,225.88,0,16,1,3,0,1,164.89,0.0,274.13,980.0,544.08,1009.41,,,,,256.66999999999996,84.41529008420216,350.928,146.8378289814992,350.928,146.8378289814992,3.4903762161510588,4.622822915241834,0.22202769057393695,True,False,False,False,False,True,False,False,False,False,False
2023-01-20,Anderson's Bar,Beer,Coors,225.88,0.0,1158.76999999999,932.889999999999,230.71,4,20,1,3,0,1,330.99,0.0,164.89,0.0,274.13,980.0,,,,,240.58666666666662,84.02093211416623,330.08666666666664,140.90864227103557,330.08666666666664,140.90864227103557,4.11182122708039,3.2972300203986795,0.19476275468412008,True,False,False,False,False,True,False,False,False,False,False
2023-02-10,Anderson's Bar,Beer,Coors,230.71,0.0,932.889999999999,702.179999999999,478.07,4,10,2,6,0,0,225.88,0.0,330.99,0.0,164.89,0.0,,,,,262.52666666666664,59.34014857862535,315.89,134.0031913799071,315.89,134.0031913799071,3.0304259634888395,2.222862388806227,0.24704194284123426,True,False,False,False,False,True,False,False,False,False,False
2023-02-15,Anderson's Bar,Beer,Coors,478.07,1914.66,702.179999999999,2138.76999999999,375.89,2,15,2,7,0,0,230.71,0.0,225.88,0.0,330.99,0.0,440.55,0.0,,,311.5533333333333,144.22788368874217,321.25,140.41739054214997,336.1625,136.67254408674356,4.464420648339471,6.65764980544744,0.6798685969453065,True,False,False,False,False,True,False,False,False,False,False
2023-02-17,Anderson's Bar,Beer,Coors,375.89,0.0,2138.76999999999,1762.87999999999,579.05,4,17,2,7,0,0,478.07,1914.66,230.71,0.0,225.88,0.0,544.08,1009.41,,,361.5566666666666,124.30135048877523,297.22285714285715,106.13941848881055,340.57666666666665,128.5294716203253,4.67743904056884,5.931172376667787,0.17566841296027225,True,False,False,False,False,True,False,False,False,False,False
2023-02-20,Anderson's Bar,Beer,Coors,579.05,0.0,1762.87999999999,1183.82999999999,428.03,0,20,2,8,0,0,375.89,0.0,478.07,1914.66,230.71,0.0,274.13,980.0,,,477.6699999999999,101.58059066573706,340.7828571428571,148.9991052226249,364.424,142.7278600227253,2.0409102663563314,3.4738543186276685,0.32828196929496517,True,False,False,False,False,True,False,False,False,False,False
