feature,importance
Stockout_Risk,0.6159922316536635
Inventory_Ratio,0.1308199324625892
Consumption_Std_3,0.02792698499376265
Consumption_Std_14,0.02027725284424091
Consumption_Std_7,0.02006888532971315
Purchase_Lag_1,0.019116846483872584
Purchase_Lag_3,0.016582627277693315
Consumption_Mean_7,0.014969694476246414
Purchase_Lag_7,0.014163587860194806
Consumption_Mean_3,0.013964086395866392
Consumption_Lag_14,0.013938820484559971
Consumption_Lag_2,0.013763055463032232
Consumption_Lag_1,0.010587303904542182
Consumption_Lag_3,0.009401463485881873
Consumption_Mean_14,0.008384276245563808
Inventory_Turnover,0.007832830913142129
Purchase_Lag_14,0.006838447118211316
DayOfMonth,0.0059304456779325655
WeekOfYear,0.005362853145433896
DayOfWeek,0.005298339092139991
Consumption_Lag_7,0.005042339127558327
Purchase_Lag_2,0.0037174338200109533
Alcohol_Wine,0.002748342424044065
Alcohol_Vodka,0.0019313945523066688
Bar_Taylor's Bar,0.0016220807542447879
Bar_Anderson's Bar,0.001136389082246812
Month,0.0008714763889762083
Alcohol_Rum,0.0008131066929793714
Alcohol_Beer,0.0004926089754187997
Bar_Thomas's Bar,0.0003329027178612005
IsHolidaySeason,7.196015606995342e-05
IsWeekend,0.0
Bar_Brown's Bar,0.0
Alcohol_Whiskey,0.0
Bar_Smith's Bar,0.0
Bar_Johnson's Bar,0.0
